d,phi,u
0.01631647658442925,0.08456185149435466,0.24772661733864718
0.016592961551438967,0.09736647346006744,0.2632960889744571
0.016921380204375613,0.10853804864641264,0.2777518506901688
0.017300296698750217,0.11799150692558096,0.29099447391308314
0.017727149272447673,0.12566522814974404,0.30293672087422074
0.018198197539744165,0.13152034292170703,0.31350231831914865
0.018708522014622364,0.13553984090783472,0.32262506105405836
0.019252072946760013,0.13772754165097578,0.3302482711185759
0.019821764022323496,0.13810697439648045,0.3363246146197154
0.0204096054938111,0.1367202040946806,0.3408162590327916
0.021006870729638135,0.13362663119446827,0.34369533849084966
0.021604289879948998,0.12890178366338245,0.34494468246287247
0.02219226422005749,0.12263611128446603,0.34455875348504095
0.02276109466508469,0.1149337849790759,0.3425447316299228
0.023301217891714576,0.10591149786385896,0.3389236767810047
0.023803443434108118,0.09569726005582244,0.33373169439690364
0.024259185051770493,0.0844291759144775,0.32702102643218245
0.024660679634164406,0.07225419043389318,0.31886098677553726
0.02500118696424547,0.05932679082355579,0.3093386604660105
0.025275163873132556,0.045807649881579426,0.298559288612905
0.02547840674165036,0.03186219949191596,0.28664626690841954
0.02560815699164598,0.017659125380343796,0.2737406952968036
0.025663165191986415,0.003368778037372226,0.2600004299572364
0.02564371068683391,-0.010838500667611663,0.24559860620072743
0.02555157521339968,-0.024794130355491047,0.23072162177850575
0.025389970758329827,-0.03833311386679648,0.2155665937165018
0.025163423822843978,-0.05129591116487215,0.20033832706356763
0.024877620219815988,-0.06353034265582369,0.1852458595423362
0.02453921638894352,-0.074893493384661,0.17049867050477419
0.0241556248616398,-0.08525358437929675,0.15630266423710126
0.02373478281426733,-0.09449177313658728,0.142856055006086
0.023284913513108463,-0.10250384217729962,0.130345292953785
0.022814290800481363,-0.10920173300495603,0.1189411749998576
0.022331016556492056,-0.11451488289733779,0.10879528266758277
0.021842820291492426,-0.11839132387468689,0.10003687904023738
0.021356888716444367,-0.12079850697182444,0.09277038019261923
0.020879731375523014,-0.12172382053857314,0.087073493216657
0.020417086313547994,-0.12117477854642003,0.08299608458905991
0.019973867422006908,-0.11917886353101272,0.08055981068905636
0.01955415271058314,-0.11578301850166454,0.07975850860416685
0.019161210442728116,-0.11105279247943953,0.08055931194784163
0.018797558007382253,-0.10507115481378836,0.08290442526003418
0.01846552436298332,-0.09789639901504273,0.08675884461479048
0.018166090942882462,-0.0896742524661982,0.09198665696262642
0.017899818596642803,-0.08055771398966394,0.09844047197676409
0.01766697416628782,-0.0707051210643353,0.10596462059854289
0.017468150146241257,-0.06021461428338328,0.11446688717902928
0.017303463183073742,-0.049235489150140505,0.12379914268059691
0.017172959183407777,-0.037920024984038715,0.13380956685003906
0.01707666416114595,-0.02642063057303023,0.14434601103842926
0.017014608172380652,-0.014887232426800222,0.15525884929700629
0.016986820862078922,-0.00346606881971962,0.1664021398010696
0.01699330877237948,0.007702287261743614,0.17763537498553839
0.017034014044036816,0.018484703084846243,0.1888248435252144
0.017108759174269128,0.02875702994756316,0.19984462169025444
0.017217183156161386,0.03840539907363007,0.21057723063524392
0.017358674469217128,0.047327283319537075,0.22091402801170834
0.017532306202174386,0.05543232674956583,0.2307553887713097
0.01773677809384422,0.06264295033016826,0.24001073126861044
0.017970369544688225,0.06889474707185451,0.24859844251873675
0.018230906768326616,0.07413668373739436,0.2564457514206605
0.01851574630272612,0.07833112838066696,0.2634885914079282
0.018821776153405523,0.0814537239253158,0.26967148545937103
0.019145434948315998,0.0834931278762011,0.2749474773593611
0.019482748681516338,0.08445063725832205,0.2792781240734854
0.019829383929577116,0.08433971619914997,0.28263355549492114
0.02018071584689629,0.08318544142440083,0.28499259989336373
0.02053190878045097,0.08102387852862919,0.2863429663331389
0.020878006982274044,0.0779013993963055,0.2866814692190459
0.021214032628699808,0.07387394874706531,0.2860142750340634
0.021535088169655547,0.06900626559280919,0.2843571472893647
0.02183645992242489,0.06337106352756396,0.28173566275181283
0.022113719789364494,0.05704817229879989,0.2781853701924448
0.0223628220186205,0.05012364208021968,0.2737518622664247
0.022580192044226788,0.04268881130688257,0.26849073174915045
0.022762804641655254,0.03483933884850094,0.2624673852650535
0.022908248920970653,0.026674201672041254,0.2557566908817478
0.023014778054094798,0.018294659949231153,0.24844244049017913
0.023081342093108415,0.009803192751695366,0.2406166136827795
0.02310760277560897,0.0013024089846599583,0.23237843674074968
0.023093929817353587,-0.0071060600344911296,0.22383323813904474
0.023041378841897053,-0.01532267803247109,0.21509111038649945
0.022951651766063286,-0.023251120972215298,0.20626539668841756
0.022827041118620443,-0.030799381748044027,0.1974710294381604
0.022670360384434488,-0.037880848366107056,0.18882275547823782
0.022484863004023747,-0.044415340070747406,0.18043328996949007
0.022274153087191273,-0.05033008472120901,0.17241144615070372
0.02204209119208489,-0.05556062002974964,0.16486029189109924
0.02179269865730271,-0.060051601121121664,0.15787538545190544
0.021530063942850397,-0.06375749732494763,0.15154314210355635
0.02125825423430605,-0.06664316220108749,0.14593938014197302
0.020981235202350845,-0.06868426252958923,0.14112808949391922
